sample	PRS
HG01801	-3.697354626282
HG01802	-4.95395705886413
HG01804	-6.18375403982441
HG01805	-6.90554894107602
HG01806	-5.99787716984667
HG01807	-13.4211685238249
HG01808	-11.9531455688678
HG01809	-6.65768876750963
HG01810	-9.75563852225989
HG01811	-2.0410383855009
HG01812	-7.20280877826565
HG01813	-10.95113489251
HG01815	-5.34371870569563
HG01816	-8.94330735589535
HG01817	-11.7987019421965
HG01840	-5.32501937059515
HG01841	-11.1558944314553
HG01842	-4.38686112709627
HG01843	-9.11331745128492
HG01844	-11.0160062495627
HG01845	-10.6332073616816
HG01846	-13.5797029308406
HG01847	-2.36892939707386
HG01848	-3.99483726931462
HG01849	-4.32836586773347
HG01850	-10.1517999571375
HG01851	-10.6163560950812
HG01852	-6.57369231262834
HG01853	-14.0061264384808
HG01855	-10.1014356886865
HG01857	-10.816222175981
HG01858	-6.48946930526669
HG01859	-12.4930817370125
HG01860	-2.79282175389059
HG01861	-9.3363918283689
HG01862	-6.53707162158673
HG01863	-8.08923870143364
HG01864	-5.78087680805974
HG01865	-6.07533122506175
HG01866	-9.24244954149798
HG01867	-6.74315738763963
HG01868	-12.8650279658286
HG01869	-11.7668786995415
HG01870	-8.12230262795227
HG01871	-11.1207376858145
HG01872	-10.1750701332982
HG01873	-6.7423571009416
HG01874	-10.7030315923974
HG01878	-5.12480359071155
HG01879	-6.69177166584293
HG01880	-5.37497981947688
HG01882	-6.99557141645183
HG01883	-7.5302033468666
HG01885	-4.21083250894588
HG01886	-4.22730417351132
HG01889	-2.45239521100276
HG01890	-5.03345200955007
HG01892	-1.68282236882883
HG01893	-14.379262177921
HG01894	-1.29976195397831
HG01896	-1.1038334216401
HG01912	-3.06986627288109
HG01914	-4.14439890419009
HG01915	-5.04840020550941
HG01917	2.42005866282615
HG01918	-8.9740369085034
HG01920	-7.01599866525079
HG01921	-6.09727154028238
HG01923	0.224578093958374
HG01924	-4.13780279394664
HG01926	-1.05445338552062
HG01927	-4.97598416965269
HG01932	-1.85239005912266
HG01933	-3.32714132573321
HG01935	-1.44639123138629
HG01936	-8.64999175433264
HG01938	-3.81128746166792
HG01939	-4.05182392127588
HG01941	-5.44125872640184
HG01942	-1.9672259004496
HG01944	-6.98024618576153
HG01945	-8.36385810942802
HG01947	-5.47463793838037
HG01948	-6.75888297297735
HG01950	-9.8767360335498
HG01951	-8.24481107842076
HG01953	-9.32677900895885
HG01954	-4.6863126132395
HG01956	-5.22045824224975
HG01958	-2.17946372757557
HG01961	-3.49466733109146
HG01965	-6.58240087581548
HG01967	-3.27170235360614
HG01968	-3.41354613172489
HG01970	-9.76026891025233
HG01971	-10.9155583689881
HG01973	-2.42565533149705
HG01974	-2.71707182220756
HG01976	-5.47624814935559
HG01977	-2.01592462275262
HG01979	-5.0069174957274
HG01980	-5.52439287340152
HG01982	-6.75287608308449
HG01985	-1.35097104152958
HG01986	1.14645893979939
HG01988	2.98125078267521
HG01989	-4.01469509819057
HG01990	-5.95144465728868
HG01991	-0.514263960889182
HG01992	0.312897965526891
